Burn The Witch,3:41,Radiohead,A Moon Shaped Pool,A Moon Shaped Pool.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/Burn+The+Witch.mp3
Daydreaming,6:24,Radiohead,A Moon Shaped Pool,A Moon Shaped Pool.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/Daydreaming.mp3
Decks Dark,4:41,Radiohead,A Moon Shaped Pool,A Moon Shaped Pool.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/Decks+Dark.mp3
Desert Island Disk,3:45,Radiohead,A Moon Shaped Pool,A Moon Shaped Pool.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Glass Eyes,2:53,Radiohead,A Moon Shaped Pool,A Moon Shaped Pool.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
The Numbers,5:46,Radiohead,A Moon Shaped Pool,A Moon Shaped Pool.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
True Love Waits,4:44,Radiohead,A Moon Shaped Pool,A Moon Shaped Pool.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
BLOOD.,1:59,Kendrick Lamar,DAMN.,DAMN..jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
DNA.,3:06,Kendrick Lamar,DAMN.,DAMN..jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
ELEMENT.,3:29,Kendrick Lamar,DAMN.,DAMN..jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
FEEL.,3:35,Kendrick Lamar,DAMN.,DAMN..jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
YAH.,2:40,Kendrick Lamar,DAMN.,DAMN..jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Bad Decisions,4:57,Two Door Cinema Club,Gameshow,Gameshow.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Fever,4:42,Two Door Cinema Club,Gameshow,Gameshow.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Good Morning,3:56,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Barry Bonds (feat Lil' Wayne),3:24,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Big Brother,4:47,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Can't Tell Me Nothing,4:32,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
Champion,2:48,Kanye West,Graduation,Graduation2.jpg, https://s3-us-west-1.amazonaws.com/betterplaylists-dev/3.mp3
